Container,Batch Name,Number of Ballots
Advance Voting,AV-Southwest Library ICP 1 - 0,3203
Advance Voting,AV-Southwest Library ICP 2 - 0,2454
Absentee by Mail,ICC-Absentee By Mail 1 - 73,19
Advance Voting,AV-Mosquito Control ICP 1 - 0,3638
Absentee by Mail,ICC-Absentee By Mail 1 - 74,75
Absentee by Mail,ICC-Absentee By Mail 2 - 32,82
Absentee by Mail,ICC-Absentee By Mail 2 - 33,22
Absentee by Mail,ICC-Absentee By Mail 1 - 75,67
Absentee by Mail,ICC-Absentee By Mail 2 - 34,62
Absentee by Mail,ICC-Absentee By Mail 1 - 76,64
Absentee by Mail,ICC-Absentee By Mail 1 - 77,99
Absentee by Mail,ICC-Absentee By Mail 1 - 78,77
Absentee by Mail,ICC-Absentee By Mail 1 - 79,57
Absentee by Mail,ICC-Absentee By Mail 1 - 80,45
Absentee by Mail,ICC-Absentee By Mail 1 - 81,63
Absentee by Mail,ICC-Absentee By Mail 2 - 35,5
Absentee by Mail,ICC-Absentee By Mail 2 - 36,91
Absentee by Mail,ICC-Absentee By Mail 1 - 82,69
Absentee by Mail,ICC-Absentee By Mail 2 - 37,10
Absentee by Mail,ICC-Absentee By Mail 1 - 83,3
Absentee by Mail,ICC-Absentee By Mail 2 - 38,4
Absentee by Mail,ICC-Absentee By Mail 2 - 39,1
Absentee by Mail,ICC-Absentee By Mail 2 - 40,21
Absentee by Mail,ICC-Absentee By Mail 1 - 84,4
Absentee by Mail,ICC-Absentee By Mail 2 - 41,3
Absentee by Mail,ICC-Absentee By Mail 1 - 85,6
Absentee by Mail,ICC-Absentee By Mail 2 - 42,64
Absentee by Mail,ICC-Absentee By Mail 2 - 43,8
Election Day,ED-Southside Baptist Church  ICP 1 - 0,443
Election Day,ED-First Presbyterian Church  ICP 1 - 0,1323
Election Day,ED-Immanuel Baptist Church  ICP 1 - 0,429
Election Day,ED-St Thomas Episcopal Church  ICP 1 - 0,596
Election Day,ED-Eli Whitney Complex  ICP 1 - 0,452
Election Day,ED-Jenkins High School  ICP 1 - 0,359
Election Day,ED-The Connexion Church  ICP 1 - 0,325
Election Day,ED-St Peters Episcopal  ICP 1 - 0,1176
Election Day,ED-Senior Citizens Center  ICP 1 - 0,193
Election Day,ED-Seed Church  ICP 1 - 0,479
Election Day,ED-Elks Lodge ICP 1 - 0,382
Election Day,ED-Jonesville Baptist Church  ICP 1 - 0,820
Election Day,ED-The Light Church  ICP 1 - 0,402
Election Day,ED-Coastal GA Botanical Gardens  ICP 1 - 0,1068
Election Day,ED-Silk Hope Baptist Church  ICP 1 - 0,256
Election Day,ED-W W Law Center  ICP 1 - 0,360
Election Day,ED-Bible Baptist Church  ICP 1 - 0,742
Election Day,ED-JEA Building  ICP 1 - 0,810
Election Day,ED-Isle of Hope Baptist  ICP 1 - 0,934
Election Day,ED-St. Luke United Methodist  ICP 1 - 0,599
Election Day,ED-The Sanctuary  ICP 1 - 0,522
Election Day,ED-Holy Spirit Lutheran Church  ICP 1 - 0,754
Election Day,ED-Salvation Army  ICP 1 - 0,875
Election Day,ED-Oasis of Hope  ICP 1 - 0,391
Election Day,ED-Williams Court Apts  ICP 1 - 0,450
Election Day,ED-Savannah High School  ICP 1 - 0,288
Election Day,ED-First African Baptist Church  ICP 1 - 0,413
Election Day,ED-New Cov 7 Day Adv Ch  ICP 1 - 0,608
Election Day,ED-Oglethorpe Charter Academy  ICP 1 - 0,585
Election Day,ED-Skidaway Community Church  ICP 1 - 0,1218
Election Day,ED-White Bluff Presbyterian  ICP 1 - 0,494
Election Day,ED-Windsor Forest Baptist  ICP 1 - 0,860
Election Day,ED-Crusader Comm Center  ICP 1 - 0,768
Election Day,"ED-Compassion Christian, Henderson  ICP 1 - 0",697
Election Day,ED-Central Church of Christ  ICP 1 - 0,780
Election Day,ED-Grace United Methodist Church  ICP 1 - 0,639
Election Day,ED-Ferguson Ave Baptist  ICP 1 - 0,1215
Election Day,ED-Fellowship of Love Church  ICP 1 - 0,601
Election Day,ED-Skidaway Island Methodist  ICP 1 - 0,1679
Election Day,ED-Savannah Primitive BC  ICP 1 - 0,464
Election Day,ED-Largo-Tibet Elementary  ICP 1 - 0,558
Election Day,ED-Windsor Hall  ICP 1 - 0,523
Election Day,ED-Christ Memorial Baptist Church  ICP 1 - 0,471
Election Day,ED-Georgetown Elementary  ICP 1 - 0,1145
Election Day,ED-Islands Christian Church  ICP 1 - 0,1115
Election Day,ED-New Generations Cathedral  ICP 1 - 0,562
Election Day,ED-Thunderbolt Muni Complex  ICP 1 - 0,569
Election Day,ED-Islands High School Annex  ICP 1 - 0,754
Election Day,ED-Lighthouse Baptist Church  ICP 1 - 0,961
Election Day,ED-First Baptist of the Island  ICP 1 - 0,900
Election Day,ED-Wilmington Island UMC  ICP 1 - 0,1138
Election Day,ED-Wilmington Island Pres Church  ICP 1 - 0,1178
Election Day,ED-Burke Day Public Safety Bldg  ICP 1 - 0,660
Election Day,ED-Tybee Old School Cafe  ICP 1 - 0,799
Election Day,ED-Christ Community Church  ICP 1 - 0,745
Election Day,ED-Butler Presbyterian Church  ICP 1 - 0,258
Election Day,ED-River Pointe  ICP 1 - 0,330
Election Day,ED-Temple Mickve Israel  ICP 1 - 0,418
Election Day,ED-St Francis Episcopal Church  ICP 1 - 0,884
Election Day,ED-Liberty City Comm Ctr  ICP 1 - 0,726
Election Day,ED-R.M.G. Civil Rights Museum  ICP 1 - 0,209
Election Day,ED-Hellenic Center  ICP 1 - 0,414
Absentee by Mail,ICC-Absentee By Mail 1 - 86,25
Election Day,ED-W Broad St YMCA  ICP 1 - 0,300
Election Day,ED-Tompkins Rec Center  ICP 1 - 0,240
Election Day,ED-Woodville-Tompkins TI  ICP 1 - 0,161
Election Day,ED-Resur of Our Lord Church  ICP 1 - 0,422
Absentee by Mail,ICC-Absentee By Mail 1 - 87,4
Election Day,ED-Moses Jackson Center  ICP 1 - 0,353
Election Day,ED-Carver Heights Comm Ctr  ICP 1 - 0,483
Election Day,ED-Butler Elementary  ICP 1 - 0,449
Absentee by Mail,ICC-Absentee By Mail 1 - 88,12
Election Day,ED-Beach High School  ICP 1 - 0,283
Election Day,ED-Savannah First 7th Day Adv Church ICP 1 - 0,302
Election Day,ED-Trinity Lutheran Church  ICP 1 - 0,851
Election Day,ED-First Baptist Church of Garden City  ICP 1 - 0,487
Absentee by Mail,ICC-Absentee By Mail 1 - 89,20
Election Day,ED-PB Edwards Gym  ICP 1 - 0,411
Election Day,ED-Lake Shore Comm Ctr  ICP 1 - 0,862
Election Day,ED-Woodlawn Baptist Church  ICP 1 - 0,337
Election Day,ED-1st Baptist Church of Pooler  ICP 1 - 0,782
Absentee by Mail,ICC-Absentee By Mail 1 - 90,52
Election Day,ED-Rothwell Baptist Church  ICP 1 - 0,1035
Election Day,ED-Bloomingdale Comm Ctr  ICP 1 - 0,1053
Election Day,ED-Progressive Rec Center  ICP 1 - 0,863
Election Day,ED-Savannah Fire Station 14  ICP 1 - 0,690
Absentee by Mail,ICC-Absentee By Mail 1 - 91,57
Election Day,ED-West Chatham Baptist Church  ICP 1 - 0,854
Election Day,ED-Southside Fire Trng Ctr  ICP 1 - 0,809
Absentee by Mail,ICC-Absentee By Mail 2 - 44,13
Election Day,ED-Coastal Cathedral  ICP 1 - 0,1939
Absentee by Mail,ICC-Absentee By Mail 1 - 92,38
Election Day,ED-Rice Creek School  ICP 1 - 0,779
Election Day,ED-Pooler Recreation Center Gymnasium  ICP 1 - 0,977
Election Day,ED-Savannah Christian  ICP 1 - 0,196
Absentee by Mail,ICC-Absentee By Mail 2 - 45,9
Election Day,ED-Cooper Center  ICP 1 - 0,374
Absentee by Mail,ICC-Absentee By Mail 1 - 93,39
Election Day,ED-Mighty 8th Museum  ICP 1 - 0,821
Election Day,ED-Georgia Tech Savannah Campus ICP 1 - 0,712
Absentee by Mail,ICC-Absentee By Mail 2 - 46,8
Absentee by Mail,ICC-Absentee By Mail 1 - 94,26
Absentee by Mail,ICC-Absentee By Mail 2 - 47,13
Absentee by Mail,ICC-Absentee By Mail 2 - 48,7
Provisional,ICC-Provisional - 1,75
Absentee by Mail,ICC-Absentee By Mail 1 - 95,8
Absentee by Mail,ICC-Absentee By Mail 1 - 96,19
Absentee by Mail,ICC-Absentee By Mail 1 - 97,14
