Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
Absentee By Mail ICC - 1,9,16
Absentee By Mail ICC - 2,10,14
Absentee By Mail ICC - 3,12,13
Absentee By Mail ICC - 4,5,10
AV-Elections Office ICP 1 - 0,295,253
ED-Anna ICP 1 - 0,83,41
ED-Hoggards Mill ICP 1 - 0,58,48
ED-Newton ICP 1 - 0,40,35
ED-Elmodel ICP 1 - 0,47,18
ED-Milford ICP 1 - 0,92,31
Absentee By Mail ICC - 5,0,1
Provisional ICC - 1,0,1
