Container,Batch Name,Number of Ballots
Absentee by Mail,ICC 1 - Absentee By Mail - 107,5
Absentee by Mail,ICC 1 - Absentee By Mail - 108,15
Absentee by Mail,ICC 1 - Absentee By Mail - 109,15
Absentee by Mail,ICC 1 - Absentee By Mail - 110,10
Absentee by Mail,ICC 1 - Absentee By Mail - 111,10
Absentee by Mail,ICC 1 - Absentee By Mail - 112,25
Absentee by Mail,ICC 1 - Absentee By Mail - 113,7
Absentee by Mail,ICC 1 - Absentee By Mail - 114,25
Absentee by Mail,ICC 1 - Absentee By Mail - 115,25
Absentee by Mail,ICC 1 - Absentee By Mail - 116,25
Absentee by Mail,ICC 1 - Absentee By Mail - 117,25
Absentee by Mail,ICC 1 - Absentee By Mail - 118,23
Absentee by Mail,ICC 1 - Absentee By Mail - 119,23
Absentee by Mail,ICC 1 - Absentee By Mail - 120,9
Absentee by Mail,ICC 1 - Absentee By Mail - 121,25
Absentee by Mail,ICC 1 - Absentee By Mail - 122,25
Absentee by Mail,ICC 1 - Absentee By Mail - 123,25
Absentee by Mail,ICC 1 - Absentee By Mail - 124,25
Absentee by Mail,ICC 1 - Absentee By Mail - 125,25
Absentee by Mail,ICC 1 - Absentee By Mail - 126,25
Absentee by Mail,ICC 1 - Absentee By Mail - 127,25
Absentee by Mail,ICC 1 - Absentee By Mail - 128,25
Absentee by Mail,ICC 1 - Absentee By Mail - 129,25
Absentee by Mail,ICC 1 - Absentee By Mail - 130,25
Absentee by Mail,ICC 1 - Absentee By Mail - 131,3
Absentee by Mail,ICC 1 - Absentee By Mail - 132,4
Absentee by Mail,ICC 1 - Absentee By Mail - 133,4
Absentee by Mail,ICC 1 - Absentee By Mail - 134,10
Absentee by Mail,ICC 1 - Absentee By Mail - 135,15
Advanced Voting,AV-Rhodenizer Rec Center ICP - 0,7493
Absentee by Mail,ICC 1 - Absentee By Mail - 136,1
Advanced Voting,AV-Morrow Muni Complex ICP - 0,5631
Advanced Voting,AV-Gray Rec Center ICP - 0,5444
Absentee by Mail,ICC 1 - Absentee By Mail - 137,15
Advanced Voting,AV-Gray Rec Center ICP 2 - 0,3180
Advanced Voting,AV-Elections Main Office ICP - 0,1327
Absentee by Mail,ICC 1 - Absentee By Mail - 138,15
Absentee by Mail,ICC 1 - Absentee By Mail - 139,12
Advanced Voting,AV-Elections Main Office ICP 3 - 0,2764
Advanced Voting,AV-Forest Park Senior Center ICP - 0,3653
