Container,Batch Name,Number of Ballots
Advance Voting,AV-Election Office ICP 1 - 0,1518
Absentee by Mail,Absentee By Mail ICC - 1,118
Election Day,ED-Racepond ICP 1 - 0,103
Election Day,ED-Winkour ICP 1 - 0,73
Election Day,ED-Folkston ICP 2 - 0,51
Election Day,ED-Folkston ICP 1 - 0,640
Election Day,ED-Homeland ICP 1 - 0,174
Election Day,ED-GA Bend ICP 1 - 0,192
Election Day,ED-St. George ICP 1 - 0,238
Provisional,Provisional ICC - 1,3
