Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
Absentee By Mail ICC - 1,9,16,0
Absentee By Mail ICC - 2,6,19,0
Absentee By Mail ICC - 3,6,19,0
Absentee By Mail ICC - 4,7,16,0
Absentee By Mail ICC - 5,0,4,0
AV-Election Office ICP 1 - 0,355,229,9
ED-Social Services Building ICP 1 - 0,184,196,9
Provisional ICC - 1,1,0,0
