Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
AV-Elections Office - ICP 2 - 0,732,360
ICC - Absentee by Mail - 1,35,19
ICC - Absentee by Mail - 2,31,25
ED-Uvalda ICP 1 - 0,234,55
ED-MtVernon ICP 1 - 0,223,117
ED-Ailey ICP 1 - 0,106,39
ED-Alston ICP 1 - 0,197,22
ED-Higgston ICP 1 - 0,367,79
ED-Kibbee ICP 1 - 0,214,25
ICC - Absentee by Mail - 3,1,0
ED-Tarrytown ICP 1 - 0,146,10
