Batch Name,Herschel Junior Walker (Rep),Raphael Warnock (I) (Dem)
ICC - Absentee By Mail - 1,17,33
ICC - Absentee By Mail - 2,9,41
ICC - Absentee By Mail - 3,18,33
ICC - Absentee By Mail - 4,11,39
AV-Elections Office ICP 1 - 0,608,567
ED-Brantley ICP 1 - 0,119,11
ED-Tazewell ICP 1 - 0,142,22
ED-Fort Perry ICP 1 - 0,203,42
ED-Pineknot ICP 1 - 0,327,18
ED-Buena Vista ICP 1 - 0,201,223
