Batch Name,Brad Raffensperger (I) (Rep),Bee Nguyen (Dem),Ted Metz (Lib)
ICC - Absentee By Mail 4 - 279,6,40,0
ICC - Absentee By Mail 4 - 248,23,25,0
ICC - Absentee By Mail 4 - 25,19,24,1
ICC - Absentee By Mail 4 - 246,16,31,1
ICC - Absentee By Mail 4 - 245,15,30,0
ICC - Absentee By Mail 4 - 249,8,40,1
ICC - Absentee By Mail 4 - 244,21,26,0
ICC - Absentee By Mail 4 - 241,14,34,0
ICC - Absentee By Mail 4 - 242,17,29,2
ICC - Absentee By Mail 4 - 240,22,22,0
ICC - Absentee By Mail 4 - 243,6,39,1
ICC - Absentee By Mail 4 - 26,10,28,0
ICC - Absentee By Mail 4 - 251,10,35,1
ICC - Absentee By Mail 4 - 260,12,35,0
ICC - Absentee By Mail 4 - 250,19,30,1
ICC - Absentee By Mail 4 - 259,0,43,1
ICC - Absentee By Mail 4 - 257,25,21,0
ICC - Absentee By Mail 4 - 261,1,39,0
ICC - Absentee By Mail 4 - 252,20,23,1
ICC - Absentee By Mail 4 - 256,15,33,1
ICC - Absentee By Mail 4 - 258,6,43,0
ICC - Absentee By Mail 4 - 193,9,34,0
ICC - Absentee By Mail 4 - 253,22,26,1
ICC - Absentee By Mail 4 - 192,12,31,1
ICC - Absentee By Mail 4 - 254,21,24,0
ICC - Absentee By Mail 4 - 255,6,44,0
ICC - Absentee By Mail 4 - 13,11,39,0
ICC - Absentee By Mail 4 - 130,7,40,0
ICC - Absentee By Mail 4 - 131,6,39,0
ICC - Absentee By Mail 4 - 132,19,27,0
ICC - Absentee By Mail 4 - 129,17,27,2
ICC - Absentee By Mail 4 - 128,4,42,0
ICC - Absentee By Mail 4 - 127,5,37,2
ICC - Absentee By Mail 4 - 123,9,40,0
ICC - Absentee By Mail 4 - 124,3,46,0
ICC - Absentee By Mail 4 - 125,6,40,0
ICC - Absentee By Mail 4 - 126,3,45,0
ICC - Absentee By Mail 4 - 133,19,29,1
ICC - Absentee By Mail 4 - 134,26,21,1
ICC - Absentee By Mail 4 - 141,8,39,0
ICC - Absentee By Mail 4 - 142,17,29,1
ICC - Absentee By Mail 4 - 143,15,30,1
ICC - Absentee By Mail 4 - 144,21,28,0
ICC - Absentee By Mail 4 - 140,14,31,0
ICC - Absentee By Mail 4 - 14,4,42,0
ICC - Absentee By Mail 4 - 139,16,33,0
ICC - Absentee By Mail 4 - 135,2,47,0
ICC - Absentee By Mail 4 - 136,6,40,1
ICC - Absentee By Mail 4 - 137,5,39,0
ICC - Absentee By Mail 4 - 138,31,19,0
ICC - Absentee By Mail 4 - 122,1,49,0
ICC - Absentee By Mail 4 - 121,22,22,0
ICC - Absentee By Mail 4 - 106,24,17,4
ICC - Absentee By Mail 4 - 107,23,26,0
ICC - Absentee By Mail 4 - 108,27,22,0
ICC - Absentee By Mail 4 - 109,17,30,0
ICC - Absentee By Mail 4 - 105,16,34,0
ICC - Absentee By Mail 4 - 104,16,33,0
ICC - Absentee By Mail 4 - 103,12,35,0
ICC - Absentee By Mail 4 - 10,4,30,1
ICC - Absentee By Mail 4 - 100,14,33,1
ICC - Absentee By Mail 4 - 101,13,36,0
ICC - Absentee By Mail 4 - 102,19,24,1
ICC - Absentee By Mail 4 - 11,17,29,1
ICC - Absentee By Mail 4 - 110,0,50,0
ICC - Absentee By Mail 4 - 118,19,30,1
ICC - Absentee By Mail 4 - 120,5,41,2
ICC - Absentee By Mail 4 - 119,3,47,0
ICC - Absentee By Mail 4 - 12,11,36,0
ICC - Absentee By Mail 4 - 117,17,28,0
ICC - Absentee By Mail 4 - 116,25,22,0
ICC - Absentee By Mail 4 - 111,18,22,2
ICC - Absentee By Mail 4 - 115,4,45,0
ICC - Absentee By Mail 4 - 114,29,17,1
ICC - Absentee By Mail 4 - 112,19,30,1
ICC - Absentee By Mail 4 - 113,10,34,1
ICC - Absentee By Mail 4 - 179,23,23,0
ICC - Absentee By Mail 4 - 177,13,35,0
ICC - Absentee By Mail 4 - 145,10,36,0
ICC - Absentee By Mail 4 - 146,24,24,1
ICC - Absentee By Mail 4 - 178,8,40,0
ICC - Absentee By Mail 4 - 176,19,27,0
ICC - Absentee By Mail 4 - 18,3,44,1
ICC - Absentee By Mail 4 - 174,2,45,0
ICC - Absentee By Mail 4 - 175,14,34,2
ICC - Absentee By Mail 4 - 170,4,44,0
ICC - Absentee By Mail 4 - 173,3,39,1
ICC - Absentee By Mail 4 - 181,1,48,0
ICC - Absentee By Mail 4 - 171,20,29,0
ICC - Absentee By Mail 4 - 180,16,34,0
ICC - Absentee By Mail 4 - 172,10,34,1
ICC - Absentee By Mail 4 - 190,5,40,0
ICC - Absentee By Mail 4 - 191,25,20,1
ICC - Absentee By Mail 4 - 19,13,33,1
ICC - Absentee By Mail 4 - 189,21,26,0
ICC - Absentee By Mail 4 - 188,0,45,0
ICC - Absentee By Mail 4 - 184,21,29,0
ICC - Absentee By Mail 4 - 186,28,21,0
ICC - Absentee By Mail 4 - 183,4,46,0
ICC - Absentee By Mail 4 - 187,1,47,0
ICC - Absentee By Mail 4 - 182,5,41,0
ICC - Absentee By Mail 4 - 154,4,45,0
ICC - Absentee By Mail 4 - 17,7,42,1
ICC - Absentee By Mail 4 - 169,26,24,0
ICC - Absentee By Mail 4 - 185,4,39,0
ICC - Absentee By Mail 4 - 153,16,29,2
ICC - Absentee By Mail 4 - 151,16,26,1
ICC - Absentee By Mail 4 - 156,25,25,0
ICC - Absentee By Mail 4 - 152,16,32,1
ICC - Absentee By Mail 4 - 150,2,46,1
ICC - Absentee By Mail 4 - 155,7,41,1
ICC - Absentee By Mail 4 - 15,6,40,0
ICC - Absentee By Mail 4 - 148,21,27,2
ICC - Absentee By Mail 4 - 147,25,19,1
ICC - Absentee By Mail 4 - 157,17,32,0
ICC - Absentee By Mail 4 - 149,4,43,0
ICC - Absentee By Mail 4 - 166,4,41,0
ICC - Absentee By Mail 4 - 165,7,40,0
ICC - Absentee By Mail 4 - 158,13,34,1
ICC - Absentee By Mail 4 - 167,21,28,0
ICC - Absentee By Mail 4 - 168,22,27,0
ICC - Absentee By Mail 4 - 16,6,41,0
ICC - Absentee By Mail 4 - 162,7,42,0
ICC - Absentee By Mail 4 - 164,19,28,1
ICC - Absentee By Mail 4 - 159,30,19,0
ICC - Absentee By Mail 4 - 163,27,22,0
ICC - Absentee By Mail 4 - 410,12,14,0
ICC - Absentee By Mail 4 - 160,11,32,1
ICC - Absentee By Mail 4 - 161,22,26,1
ICC - Absentee By Mail 4 - 286,21,29,0
ICC - Absentee By Mail 4 - 287,20,30,0
ICC - Absentee By Mail 4 - 409,3,7,0
ICC - Absentee By Mail 4 - 411,1,11,0
ICC - Absentee By Mail 4 - 41,25,20,0
ICC - Absentee By Mail 4 - 413,12,10,0
ICC - Absentee By Mail 4 - 412,9,33,0
ICC - Absentee By Mail 4 - 406,10,13,0
ICC - Absentee By Mail 4 - 408,5,25,0
ICC - Absentee By Mail 4 - 404,16,68,0
ICC - Absentee By Mail 4 - 405,23,67,1
ICC - Absentee By Mail 4 - 407,33,93,2
ICC - Absentee By Mail 4 - 414,2,15,1
ICC - Absentee By Mail 4 - 49,24,25,0
ICC - Absentee By Mail 4 - 5,5,42,0
ICC - Absentee By Mail 4 - 415,1,24,0
ICC - Absentee By Mail 4 - 48,21,27,2
ICC - Absentee By Mail 4 - 47,4,35,1
ICC - Absentee By Mail 4 - 416,5,14,0
ICC - Absentee By Mail 4 - 45,25,22,0
ICC - Absentee By Mail 4 - 50,19,26,1
ICC - Absentee By Mail 4 - 46,3,46,0
ICC - Absentee By Mail 4 - 403,1,4,0
ICC - Absentee By Mail 4 - 42,27,17,0
ICC - Absentee By Mail 4 - 43,2,42,0
ICC - Absentee By Mail 4 - 44,1,34,0
ICC - Absentee By Mail 4 - 402,17,28,1
ICC - Absentee By Mail 4 - 389,2,13,0
ICC - Absentee By Mail 4 - 390,10,24,0
ICC - Absentee By Mail 4 - 39,7,39,3
ICC - Absentee By Mail 4 - 387,18,30,0
ICC - Absentee By Mail 4 - 388,7,39,1
ICC - Absentee By Mail 4 - 382,4,9,1
ICC - Absentee By Mail 4 - 383,3,28,0
ICC - Absentee By Mail 4 - 385,18,30,1
ICC - Absentee By Mail 4 - 386,20,29,0
ICC - Absentee By Mail 4 - 381,10,42,1
ICC - Absentee By Mail 4 - 391,4,9,0
ICC - Absentee By Mail 4 - 4,9,34,0
ICC - Absentee By Mail 4 - 40,16,33,1
ICC - Absentee By Mail 4 - 392,10,39,0
ICC - Absentee By Mail 4 - 384,24,24,0
ICC - Absentee By Mail 4 - 399,3,19,0
ICC - Absentee By Mail 4 - 398,2,15,0
ICC - Absentee By Mail 4 - 401,8,18,0
ICC - Absentee By Mail 4 - 397,3,19,0
ICC - Absentee By Mail 4 - 400,1,20,0
ICC - Absentee By Mail 4 - 393,2,13,2
ICC - Absentee By Mail 4 - 395,9,16,2
ICC - Absentee By Mail 4 - 51,7,41,0
ICC - Absentee By Mail 4 - 394,3,15,0
ICC - Absentee By Mail 4 - 396,7,35,1
ICC - Absentee By Mail 4 - 85,2,46,0
ICC - Absentee By Mail 4 - 52,10,34,2
ICC - Absentee By Mail 4 - 86,22,23,0
ICC - Absentee By Mail 4 - 84,8,39,1
ICC - Absentee By Mail 4 - 83,20,26,1
ICC - Absentee By Mail 4 - 77,21,21,0
ICC - Absentee By Mail 4 - 80,5,36,0
ICC - Absentee By Mail 4 - 81,1,45,0
ICC - Absentee By Mail 4 - 82,3,46,0
ICC - Absentee By Mail 4 - 78,2,43,1
ICC - Absentee By Mail 4 - 95,3,42,0
ICC - Absentee By Mail 4 - 79,0,38,0
ICC - Absentee By Mail 4 - 87,20,27,2
ICC - Absentee By Mail 4 - 8,4,36,0
ICC - Absentee By Mail 4 - 88,15,26,7
ICC - Absentee By Mail 4 - 98,18,27,0
ICC - Absentee By Mail 4 - 94,0,49,0
ICC - Absentee By Mail 4 - 97,23,25,0
ICC - Absentee By Mail 4 - 96,20,28,0
ICC - Absentee By Mail 4 - 93,18,27,1
ICC - Absentee By Mail 4 - 9,4,40,0
ICC - Absentee By Mail 4 - 92,20,28,0
ICC - Absentee By Mail 4 - 89,21,21,1
ICC - Absentee By Mail 4 - 90,26,22,0
ICC - Absentee By Mail 4 - 91,17,33,0
ICC - Absentee By Mail 4 - 76,19,22,0
ICC - Absentee By Mail 4 - 6,7,38,0
ICC - Absentee By Mail 4 - 61,17,23,0
ICC - Absentee By Mail 4 - 60,12,34,0
ICC - Absentee By Mail 4 - 75,5,43,0
ICC - Absentee By Mail 4 - 53,2,43,0
ICC - Absentee By Mail 4 - 59,4,38,1
ICC - Absentee By Mail 4 - 57,21,27,0
ICC - Absentee By Mail 4 - 58,17,26,0
ICC - Absentee By Mail 4 - 62,0,48,0
ICC - Absentee By Mail 4 - 56,4,41,0
ICC - Absentee By Mail 4 - 54,3,46,0
ICC - Absentee By Mail 4 - 63,16,27,1
ICC - Absentee By Mail 4 - 55,8,35,0
ICC - Absentee By Mail 4 - 64,2,48,0
ICC - Absentee By Mail 4 - 74,19,24,0
ICC - Absentee By Mail 4 - 70,0,45,0
ICC - Absentee By Mail 4 - 71,3,42,1
ICC - Absentee By Mail 4 - 72,2,45,0
ICC - Absentee By Mail 4 - 73,2,46,0
ICC - Absentee By Mail 4 - 67,15,30,1
ICC - Absentee By Mail 4 - 69,16,33,0
ICC - Absentee By Mail 4 - 7,5,41,0
ICC - Absentee By Mail 4 - 65,17,30,1
ICC - Absentee By Mail 4 - 66,0,49,0
ICC - Absentee By Mail 4 - 38,19,28,0
ICC - Absentee By Mail 4 - 68,2,47,0
ICC - Absentee By Mail 4 - 380,15,29,0
ICC - Absentee By Mail 4 - 318,7,47,0
ICC - Absentee By Mail 4 - 317,22,26,1
ICC - Absentee By Mail 4 - 32,3,43,1
ICC - Absentee By Mail 4 - 314,19,15,3
ICC - Absentee By Mail 4 - 319,2,35,0
ICC - Absentee By Mail 4 - 315,5,36,0
ICC - Absentee By Mail 4 - 316,15,32,1
ICC - Absentee By Mail 4 - 313,2,32,2
ICC - Absentee By Mail 4 - 312,5,35,0
ICC - Absentee By Mail 4 - 310,9,40,0
ICC - Absentee By Mail 4 - 320,22,13,0
ICC - Absentee By Mail 4 - 311,15,30,1
ICC - Absentee By Mail 4 - 33,15,34,0
ICC - Absentee By Mail 4 - 321,7,35,0
ICC - Absentee By Mail 4 - 330,25,16,3
ICC - Absentee By Mail 4 - 331,23,23,1
ICC - Absentee By Mail 4 - 329,18,27,2
ICC - Absentee By Mail 4 - 323,6,11,0
ICC - Absentee By Mail 4 - 322,9,28,3
ICC - Absentee By Mail 4 - 326,16,32,2
